item_id,checklist,evidence_type,kind,condition,trigger_field,move,notes,anchor_label,anchor_doi,rubric_version
E-D1,A,Empirical meta-research,down,"No independent replication of the finding, and the source is not itself a multi-site or multi-lab project",original vs. replication,-1,"Not applied when the claim is about a single documented event (a retraction, one journal's policy change). If E-D11 reclassified a 'replication' as a reanalysis, apply this item afterwards.",OSC 2015,10.1126/science.aac4716,stage1-checklists-v0.1
E-D2,A,Empirical meta-research,down,"Empirical primary, published after 2015, silent on pre-registration",pre-registration status,-1,Spec 24 silence rule. Full-text sources only; on abstract-only sources the field is 'not observable' and this item does not fire.,Nosek,10.1016/j.tics.2019.07.009,stage1-checklists-v0.1
E-D3,A,Empirical meta-research,down,"Several outcomes, subgroups, or analytic specifications reported with no pre-specified primary and no multiverse or specification-curve check",pre-registration status; design,-1,"Fires only when the source itself shows analytic multiplicity. If the source is silent on pre-registration and shows no multiplicity, E-D2 alone fires (see double-count register). Selective-reporting domain of [RoB 2](#references).",Forking paths,10.1511/2014.111.460,stage1-checklists-v0.1
E-D4,A,Empirical meta-research,down,"Imprecision: the interval on the reference magnitude includes the negligibility threshold, or N is below the source's own stated power target",N; effect size; heterogeneity and prediction interval,-1 (-2),"Take -2 when the interval spans both a negligible and a large effect, i.e. the evidence does not distinguish 'no practical effect' from 'the largest effect claimed in the literature'.",GRADE-6,10.1016/j.jclinepi.2011.01.012,stage1-checklists-v0.1
E-D5,A,Empirical meta-research,down,"Synthesis reports substantial heterogeneity, or a prediction interval that crosses the direction boundary, with no moderator or subgroup account of it",heterogeneity and prediction interval,-1,"Where a synthesis reports no prediction interval at all, record the field as not reported and fire this item once; do not additionally fire E-D4 for the same silence. See also [GRADE-7](#references).",IntHout,10.1136/bmjopen-2015-010247,stage1-checklists-v0.1
E-D6,A,Empirical meta-research,down,"Synthesis of a literature with documented publication bias that names no bias-correction method, or whose estimate does not survive the most conservative method applied",bias-correction method by name,-1 (-2),"Take -2 when the corrected estimate crosses the negligibility threshold. Spec 29: where methods disagree, report both estimates and follow the more conservative. See also [GRADE-5](#references).",Carter,10.1177/2515245919847196,stage1-checklists-v0.1
E-D7,A,Empirical meta-research,down,"Indirectness: the field, era, data type, task or design type, or sample characteristics studied differ from the context the claim states",applicability tags,-1,Fires once per claim however many tags mismatch. Record which tag drove it. Not a downgrade when the claim's stated context is narrowed to match the source instead.,ROBINS-I,10.1136/bmj.i4919,stage1-checklists-v0.1
E-D8,A,Empirical meta-research,down,"All positive results trace to one lab, author group, or shared dataset",provenance tags,-1,"Does not fire when an independent group has replicated, since E-D1 is then already satisfied. This item is also the independence test that the convergence upgrade (X-U1) depends on.",Camerer,10.1038/s41562-018-0399-z,stage1-checklists-v0.1
E-D9,A,Empirical meta-research,down,Observational study of the literature with no design feature or covariate strategy addressing the obvious confound,design; applicability tags,-1 (-2),"Example: pre-registration uptake is confounded with field, era, and author cohort. Take -2 when the confound could plausibly produce the whole association.",ROBINS-I,10.1136/bmj.i4919,stage1-checklists-v0.1
E-D10,A,Empirical meta-research,down,The outcome rests on a contested construct and the source does not name the measure used,measure named and contest noted (spec 25),-1,"Naming a measure is enough to avoid the downgrade; the contest is recorded as a tag either way, not as a second downgrade.",CERQual,10.1186/s13012-017-0688-3,stage1-checklists-v0.1
